,City,Latitude,Longtitude,Temp,Max Temp,Cloudiness,Humidity,Wind
384,luganville,67.8,130.41,-33.66,-33.66,0.0,54.0,4.83
385,kiunga,11.23,79.83,79.12,79.12,85.0,67.0,12.5
386,grand centre,30.19,-82.64,64.2,66.0,0.0,42.0,1.99
387,chicama,33.73,135.98,49.46,49.46,100.0,91.0,12.17
388,talara,20.9,70.37,67.51,67.51,0.0,37.0,7.09
389,morant bay,59.7,150.17,-6.52,-6.52,100.0,99.0,17.65
390,aksu,47.35,142.8,-2.31,-2.31,0.0,84.0,9.62
391,alice springs,55.77,-120.24,28.92,28.92,0.0,81.0,3.09
392,kulhudhuffushi,49.69,-124.99,44.38,46.0,100.0,98.0,1.99
393,broken hill,-2.52,-45.08,92.59,92.59,33.0,50.0,7.09
394,wahran,66.77,123.37,-35.14,-35.14,67.0,92.0,12.35
395,le port,27.92,-15.57,64.98,66.0,39.0,51.0,8.66
396,skibotn,48.01,91.64,9.16,9.16,99.0,55.0,2.39
397,kuusamo,-28.78,32.04,78.19,78.19,50.0,81.0,26.11
398,oxford,64.5,-165.41,-9.74,-9.74,0.0,73.0,7.18
399,rancho palos verdes,51.52,30.73,32.79,32.79,85.0,88.0,11.86
400,santa maria,-8.84,13.23,82.0,82.0,1.0,76.0,10.87
401,kathu,64.56,39.83,5.99,5.99,99.0,93.0,4.61
402,cepu,9.49,50.81,78.84,78.84,80.0,83.0,17.87
403,sikasso,60.38,92.63,24.78,24.78,100.0,90.0,13.13
404,hickory,39.92,32.85,29.53,30.99,0.0,68.0,1.61
405,si sa ket,-1.77,-55.87,93.65,93.65,36.0,47.0,2.89
406,hearst,-19.76,-44.31,72.88,72.88,85.0,92.0,9.75
407,rio gallegos,53.63,79.53,11.43,11.43,95.0,91.0,12.82
408,sao jose da coroa grande,-9.44,147.18,75.2,75.2,40.0,100.0,5.82
409,sinnamary,50.36,108.75,3.22,3.22,50.0,90.0,2.19
410,sawakin,47.87,88.12,10.51,10.51,34.0,55.0,4.7
411,faanui,-20.02,148.23,77.0,77.0,100.0,93.0,4.03
412,amalapuram,23.17,-97.95,77.92,80.01,16.0,71.0,10.0
413,kurchum,-0.91,122.88,81.48,81.48,0.0,82.0,4.7
414,kibala,37.05,25.5,53.02,55.0,14.0,73.0,5.01
415,de-kastri,-35.17,173.17,63.0,63.0,83.0,100.0,1.01
416,rishikesh,69.38,178.42,-13.5,-13.5,96.0,94.0,4.27
417,seara,39.7,119.15,26.26,26.26,0.0,86.0,6.76
418,batagay-alyta,67.47,78.7,-1.21,-1.21,83.0,96.0,4.99
419,haibowan,49.14,56.49,25.79,25.79,100.0,92.0,21.03
420,tirumullaivasal,37.73,-25.67,61.0,61.0,91.0,87.0,5.99
421,lake city,38.8,-9.45,52.75,54.0,0.0,84.0,9.22
422,shingu,37.02,111.91,25.54,25.54,100.0,78.0,1.63
423,veraval,38.89,-76.51,49.08,52.0,90.0,81.0,9.17
424,arman,8.92,-67.43,96.64,96.64,83.0,27.0,6.98
425,dolinsk,13.93,41.69,73.4,73.4,97.0,68.0,16.31
426,dawson creek,27.04,14.43,62.53,62.53,82.0,18.0,9.69
427,courtenay,-25.27,23.28,83.57,83.57,72.0,38.0,17.65
428,pinheiro,-9.86,124.28,76.48,76.48,100.0,86.0,3.22
429,zhigansk,-3.27,29.61,61.05,61.05,100.0,91.0,2.71
430,san bartolome de tirajana,41.96,42.96,26.15,26.15,0.0,71.0,7.2
431,hovd,65.37,58.04,-9.2,-9.2,87.0,99.0,1.3
432,richards bay,63.19,64.42,-10.28,-10.28,36.0,96.0,3.06
433,nome,44.42,133.48,-6.09,-6.09,29.0,89.0,2.86
434,slavutych,33.77,-84.45,44.87,48.99,90.0,60.0,8.05
435,luanda,43.32,145.57,17.2,17.2,96.0,70.0,30.42
436,severodvinsk,30.83,-83.28,58.95,61.0,0.0,46.0,5.99
437,bandarbeyla,38.36,-81.74,42.21,45.0,96.0,62.0,1.99
438,teya,54.7,78.66,11.26,11.26,100.0,92.0,13.94
439,ankara,58.84,50.85,21.33,21.33,100.0,95.0,6.62
440,oriximina,17.98,74.43,70.09,70.09,44.0,38.0,2.55
441,esmeraldas,8.0,124.29,79.0,79.0,45.0,89.0,1.01
442,khabary,-2.95,25.95,75.33,75.33,97.0,65.0,1.95
443,port moresby,46.53,-87.63,33.4,35.01,90.0,99.0,6.93
444,krasnyy chikoy,39.89,-0.09,53.76,55.0,100.0,92.0,1.99
445,altay,69.49,88.4,2.37,2.37,100.0,95.0,7.96
446,bowen,-30.74,30.45,73.08,73.08,50.0,79.0,5.32
447,nuevo progreso,41.32,61.07,26.33,26.33,24.0,65.0,6.78
448,biak,-3.41,-39.03,84.94,86.0,31.0,74.0,15.99
449,filotion,0.2,30.0,74.84,74.84,99.0,47.0,1.88
450,ahipara,38.42,-121.42,55.89,62.01,90.0,93.0,4.7
451,leningradskiy,39.45,-86.18,33.24,35.01,100.0,93.0,3.0
452,changli,48.73,4.58,36.68,39.99,100.0,95.0,5.39
453,tazovskiy,13.42,76.62,68.14,68.14,98.0,30.0,8.3
454,shubarkuduk,63.83,20.26,26.01,26.01,100.0,86.0,7.72
455,ponta delgada,26.77,31.5,50.5,50.5,0.0,39.0,9.48
456,colares,53.71,16.7,34.38,35.01,100.0,95.0,5.03
457,jiexiu,42.25,-71.0,41.81,46.0,83.0,90.0,1.99
458,mayo,47.05,-122.4,47.8,51.01,90.0,87.0,5.82
459,calabozo,-20.12,16.15,84.9,84.9,84.0,23.0,7.47
460,edd,43.2,51.65,43.92,43.92,94.0,60.0,13.0
461,sabha,55.87,-2.09,43.21,45.0,100.0,90.0,5.99
462,werda,-15.92,-46.11,76.15,76.15,99.0,88.0,5.01
463,soe,42.27,118.96,13.12,13.12,0.0,76.0,2.95
464,muramvya,-43.3,-65.1,62.94,62.94,14.0,67.0,16.93
465,khani,65.58,-171.0,-14.75,-14.75,0.0,72.0,2.15
466,synya,37.46,-122.43,58.62,63.0,40.0,87.0,3.67
467,igrim,-21.37,55.62,69.1,71.01,73.0,89.0,4.0
468,yakovlevka,-2.23,-80.9,78.66,78.66,98.0,79.0,11.88
469,fulton,57.51,72.4,-0.98,-0.98,98.0,96.0,5.91
470,nemuro,-14.78,24.8,68.54,68.54,0.0,87.0,4.7
471,valdosta,5.4,100.36,80.01,80.01,15.0,83.0,2.04
472,dunbar,4.88,-1.76,82.53,82.53,14.0,63.0,7.72
473,zdvinsk,66.15,-65.71,-37.12,-37.12,100.0,98.0,2.98
474,belaya kholunitsa,-4.5,37.9,68.74,68.74,100.0,96.0,1.21
475,phaltan,-13.85,136.42,82.49,82.49,100.0,80.0,12.12
476,marawi,66.32,-179.17,-4.88,-4.88,99.0,96.0,0.76
477,kindu,-15.77,128.73,83.93,83.93,100.0,68.0,1.25
478,marquette,56.45,138.17,-19.77,-19.77,0.0,71.0,9.95
479,sataua,-17.78,15.68,90.68,90.68,59.0,27.0,5.03
480,burriana,48.48,124.83,-8.84,-8.84,4.0,92.0,7.14
481,talnakh,58.3,-134.42,33.01,33.01,97.0,92.0,6.29
482,port shepstone,21.43,39.83,61.93,61.93,0.0,51.0,7.54
483,toliary,-23.13,150.73,73.99,73.99,100.0,92.0,3.56
484,hazorasp,21.44,-157.84,74.35,75.0,43.0,70.0,5.91
485,paracuru,1.55,110.33,78.01,78.01,100.0,94.0,5.01
486,kilembe,40.6,-124.16,56.1,57.0,100.0,96.0,1.01
487,andevoranto,43.59,-83.89,35.62,37.0,90.0,100.0,6.93
488,laguna,43.21,-75.46,34.9,37.0,90.0,100.0,3.36
489,bud,11.0,122.67,74.68,74.68,51.0,88.0,6.24
490,armacao dos buzios,53.25,39.16,33.75,33.75,100.0,85.0,19.91
491,vitry-le-francois,24.69,46.72,51.98,51.98,0.0,32.0,12.84
492,chiknayakanhalli,-20.23,164.02,79.59,79.59,72.0,80.0,21.65
493,umea,59.65,67.41,-1.26,-1.26,91.0,99.0,7.56
494,tahta,54.43,31.9,32.29,32.29,68.0,81.0,13.56
495,szczecinek,45.22,127.97,-2.74,-2.74,0.0,91.0,3.69
496,quincy,53.25,140.18,-21.75,-21.75,0.0,97.0,3.85
497,elk plain,-8.12,111.89,74.8,74.8,28.0,91.0,2.55
498,outjo,38.19,15.55,57.25,60.01,82.0,78.0,3.0
499,kuryk,-3.67,152.43,82.63,82.63,21.0,79.0,12.44
500,eyemouth,-34.02,20.44,66.2,66.2,66.0,77.0,6.93
501,arinos,44.95,12.32,42.17,44.01,100.0,84.0,3.24
502,chifeng,14.2,24.67,53.6,53.6,0.0,22.0,7.67
503,rawson,-41.0,145.72,60.44,62.01,100.0,99.0,5.99
504,lavrentiya,63.75,-68.51,-23.01,-23.01,0.0,61.0,5.01
505,half moon bay,4.92,29.47,75.34,75.34,89.0,24.0,3.24
506,saint-joseph,59.64,-151.55,-2.02,-0.99,56.0,82.0,5.99
507,la libertad,11.75,-2.93,90.27,90.27,8.0,5.0,7.65
508,tevriz,20.87,-90.4,73.53,73.53,0.0,76.0,10.74
509,kaoma,68.31,-53.46,13.69,13.69,100.0,89.0,13.11
510,butterworth,20.02,-75.82,82.0,82.0,0.0,54.0,11.99
511,nguiu,6.3,-10.8,82.17,82.17,0.0,76.0,9.82
512,takoradi,60.72,-46.03,15.8,15.8,75.0,66.0,4.7
513,pangnirtung,12.58,-81.7,79.34,79.34,44.0,70.0,13.89
514,hedaru,42.45,59.61,25.83,25.83,0.0,41.0,8.66
515,alyangula,42.16,-72.33,39.13,44.01,90.0,86.0,5.82
516,vaitupu,46.72,-92.1,33.13,36.0,100.0,85.0,5.35
517,egvekinot,2.67,72.89,82.42,82.42,99.0,76.0,14.79
518,kununurra,46.43,26.4,32.0,32.0,32.0,62.0,1.99
519,ayan,3.08,-59.95,98.69,98.69,51.0,29.0,3.15
520,oshakati,-2.72,17.68,80.6,80.6,16.0,46.0,0.47
521,nehe,62.67,135.6,-47.61,-47.61,40.0,98.0,0.45
522,juneau,60.75,-137.51,-20.15,-20.15,97.0,99.0,6.33
523,mecca,-21.2,-41.89,78.67,78.67,86.0,82.0,2.64
524,yeppoon,18.53,98.94,63.34,64.99,32.0,70.0,1.68
525,ahuimanu,38.25,-104.61,52.84,57.2,1.0,23.0,9.24
526,kuching,41.14,-73.36,44.26,50.0,90.0,100.0,17.22
527,fortuna,17.96,-102.2,83.98,83.98,30.0,54.0,4.56
528,bay city,-29.15,-59.65,94.75,94.75,0.0,26.0,4.47
529,roma,31.6,131.37,50.0,50.0,100.0,99.0,26.98
530,dingle,6.88,73.1,82.9,82.9,100.0,69.0,6.42
531,dankov,13.6,26.69,60.33,60.33,5.0,20.0,14.58
532,riyadh,16.13,119.78,75.67,75.67,88.0,75.0,3.2
533,poum,-15.25,-68.17,84.06,84.06,81.0,64.0,4.0
534,kondinskoye,6.28,-71.1,92.62,92.62,88.0,32.0,9.37
535,sobolevo,25.02,37.27,57.51,57.51,0.0,15.0,19.95
536,shangzhi,49.75,-77.63,32.02,32.02,100.0,96.0,6.62
537,mago,13.81,8.99,71.4,71.4,15.0,9.0,13.18
538,boyolangu,-8.14,159.59,78.08,78.08,64.0,81.0,4.5
539,messina,-19.06,-169.92,80.53,80.53,98.0,87.0,13.2
540,namatanai,-6.47,16.82,70.29,70.29,87.0,94.0,2.08
541,swellendam,26.54,-77.06,72.9,72.9,14.0,65.0,5.06
542,porto tolle,12.06,-61.75,79.7,79.7,100.0,77.0,14.25
543,kutum,3.81,43.25,87.17,87.17,99.0,40.0,16.8
544,wynyard,13.22,18.34,71.44,71.44,0.0,10.0,10.16
545,iqaluit,52.06,-2.71,43.68,46.0,100.0,98.0,1.01
546,karaul,35.48,51.08,35.01,35.01,0.0,64.0,5.99
547,cam pha,57.84,108.35,21.9,21.9,100.0,92.0,3.8
548,maridi,28.46,119.91,42.62,42.62,100.0,98.0,2.84
549,homer,-17.53,-149.33,84.0,84.0,83.0,70.0,5.99
550,boromo,-2.87,-67.8,84.45,84.45,100.0,70.0,1.7
551,celestun,-36.78,-59.86,93.0,93.0,14.0,27.0,3.0
552,kangaatsiaq,-3.28,-39.27,87.89,87.89,56.0,63.0,7.72
553,santiago de cuba,-32.72,152.15,74.46,77.0,89.0,87.0,1.99
554,monrovia,63.9,122.76,-36.83,-36.83,50.0,95.0,8.79
555,qaqortoq,-8.61,120.47,68.99,68.99,100.0,91.0,3.67
556,san andres,4.35,-72.46,95.43,95.43,100.0,37.0,11.25
557,nukus,-42.72,170.97,63.54,63.54,87.0,90.0,4.45
558,palmer,45.39,47.37,35.49,35.49,99.0,84.0,17.63
559,superior,57.31,88.17,19.89,19.89,100.0,88.0,12.3
560,kudahuvadhoo,63.86,57.31,-8.77,-8.77,91.0,98.0,1.74
561,asau,13.95,101.72,73.53,73.53,84.0,84.0,3.15
562,bonfim,10.15,-85.45,73.0,73.0,0.0,77.0,20.0
563,nioki,10.99,-74.95,79.11,79.11,25.0,79.0,17.6
564,khandyga,-20.73,139.5,75.81,75.81,100.0,86.0,13.35
